ID,NU_NOTA_LC
0,512.19224691949
1,583.2224594399697
2,527.3085462243314
3,469.6941996819219
4,530.0758618659244
5,568.3465026132582
6,493.3006513616731
7,479.6843001360642
8,499.38179039139493
9,615.3777496892661
10,607.1370961228012
11,579.5976785455077
12,463.35001621179794
13,600.0490545943223
14,440.0090078678936
15,462.4050644251238
16,620.2643383055712
17,604.4993564153178
18,523.5169088284136
19,530.3669483540245
20,490.02657538529957
21,592.9462916501092
22,568.1797637378933
23,471.7677341801315
24,473.50160545130785
25,576.5781880963929
26,427.11820552139864
27,536.6216442094907
28,451.0466676200628
29,473.56648368025384
30,530.119382167452
31,614.2601257609484
32,585.3005083082445
33,556.2332141011609
34,557.4772740851508
35,470.23087467065346
36,490.9360133686397
37,523.88356048249
38,530.172967854525
39,508.4430333347298
40,493.57219764506044
41,525.3531756906096
42,546.321849139597
43,448.5689826110199
44,646.6599510026064
45,430.1521388104479
46,487.9572001190402
47,471.32032494721886
48,441.99789726482766
49,543.856436023548
50,476.3562433439574
51,458.0225032162964
52,509.73304598773746
53,535.9913958524434
54,563.8700704927734
55,566.824420065403
56,474.8685114269658
57,534.6729817039986
58,552.8985775388546
59,614.9679796626928
60,504.9365465625217
61,463.66736655594536
62,449.35361607000056
63,535.7509149525789
64,540.735777502215
65,444.7738930910575
66,526.4974675814871
67,456.77135924373727
68,461.5026274174252
69,526.531860960282
70,551.9011810063631
71,594.9666549177242
72,516.2182601078886
73,517.7832373495379
74,586.3696220207746
75,496.67241005705785
76,504.52512405008474
77,480.8244516981887
78,573.12616883227
79,587.3277144905406
80,512.3864913787216
81,561.4872247109507
82,478.6785515082956
83,478.6789094261443
84,492.19730309152555
85,543.7338550324299
86,500.12032019411606
87,532.9547097640159
88,467.8214415948571
89,491.4578290366121
90,501.76348823595094
91,506.92759685127737
92,555.433657826711
93,476.09301184378785
94,586.1744746761996
95,607.1251151987208
96,518.4739851347647
97,471.27394541239323
98,496.84294471838035
99,540.9022610514673
100,606.7396974497025
101,517.3402279886711
102,547.7252765352289
103,604.6806991553873
104,534.4770950709063
105,632.7688649132544
106,629.9927417419709
107,603.6824666694712
108,478.6058597318379
109,635.602547395126
110,549.1959649616214
111,489.9428506695435
112,519.5819468996631
113,617.7068957577021
114,488.4202386575309
115,498.5018223738251
116,508.77066173987873
117,547.773122426294
118,599.9822334528784
119,561.0112220513286
120,535.7081150719795
121,491.60801200572547
122,515.094368177461
123,616.0950744305666
124,508.0779022395354
125,574.3608411981421
126,503.4083267804448
127,497.80159204484187
128,533.0334580482363
129,533.2048054659582
130,522.8448454183966
131,471.3123213435744
132,576.8174449441934
133,491.82366717531477
134,510.7758503521959
135,561.4875632180267
136,591.2022790979876
137,518.1889795118826
138,465.15331546850484
139,481.4254477246704
140,505.12013618563657
141,505.11980445266954
142,497.9327550100124
143,527.6963928823924
144,534.5722803869961
145,605.9235853228405
146,672.3742865699845
147,568.4321224563053
148,499.3761861508548
149,576.8732945676218
150,621.0436901260402
151,483.95839099475734
152,597.4154864463783
153,527.835279247856
154,535.199680020812
155,562.0770697736903
156,468.42345790512456
157,500.69189171150697
158,465.9874736884998
159,623.199180220863
160,620.2147142026399
161,641.7821699091847
162,604.9112652457611
163,429.4697734566288
164,447.169704912611
165,517.4527869996822
166,548.6963637206433
167,560.8222458100469
168,576.5535976106992
169,596.8422971707674
170,600.6792847591206
171,415.1012001857359
172,589.3842762265381
173,468.95635081671367
174,567.8698958607175
175,484.63688281497343
176,587.9280066071937
177,515.3581491005315
178,560.5422783283143
179,571.3340591617558
180,493.69757789752543
181,511.9709551171178
182,509.659696989103
183,510.7918371949252
184,511.8906153260431
185,610.2188447089351
186,500.1120506675856
187,619.131264423377
188,493.5845461535098
189,497.0126634265567
190,535.9988976516184
191,488.9914536703446
192,524.3989556469693
193,604.4391095510618
194,582.4795171518371
195,544.7854906135019
196,475.0445211461011
197,585.424761848143
198,534.332999831995
199,559.3582251932316
200,459.37915031692125
201,613.6143683319186
202,560.6044567111319
203,425.6155613577161
204,548.5599198780702
205,449.3739052084206
206,540.9699055326596
207,453.6290351169325
208,587.5076535451268
209,618.5890564717798
210,491.1304763881099
211,536.4737279790087
212,541.3894013611118
213,491.01333960786167
214,540.4404974277519
215,609.1067034914082
216,564.7294984069507
217,495.05921510825624
218,547.9453523147178
219,540.8559442151994
220,526.0479578682463
221,489.74411132569094
222,522.8341040273236
223,528.80432951932
224,475.6360761623931
225,551.273877186176
226,575.3256655750829
227,610.980302892582
228,616.4102484585275
229,550.1884069295305
230,447.49700062621326
231,554.7756743657093
232,462.9144400808182
233,537.6511557703597
234,583.6371461289579
235,510.83144431640034
236,530.0400604671422
237,471.36300663373254
238,485.15775056944483
239,526.0178304299976
240,591.3801690043697
241,626.6772310298526
242,514.0094498568494
243,516.42353678354
244,633.7102988456287
245,538.7698199029024
246,589.7964973094281
247,496.2747040395593
248,431.87181969241504
249,567.0934186323918
250,589.2678625029763
